"","sort.CORRBATT...1...decreasing...TRUE."
"W",1
"R",0.858676955197057
"RBI",0.843440353376764
"TB",0.840420896678869
"H",0.829109575086573
"Obperc",0.772842521785328
"AVG",0.771488188142289
"DOUBLES",0.754493337535565
"AB",0.747971343871315
"SLGperc",0.73052769389177
"G",0.669369448202655
"HR",0.637730045538527
"SF",0.636590249770309
"BB",0.631960449461763
"TRIPLES",0.544549630734665
"SBB",0.509957374541785
"ATT",0.50800582214762
"HBP",0.496659164549042
"SH",0.496123145474446
"SBB.ATTperc",0.306548012816921
"GDP",0.168998907569682
"SO",0.0590603559523313
