"","sort.CORRPITCH...1...decreasing...TRUE."
"W",1
"IP",0.777045634022786
"SOfor",0.771258572602766
"SV",0.709104671276756
"Abagainst",0.537255025388935
"SHO",0.449755312921819
"CBO",0.422636490592201
"CG",0.181170093186234
"SHA",0.170767277655218
"HBPpitching",-0.0445967527840435
"HRAllowed",-0.0824795871168564
"BBAllowed",-0.169150608701396
"Hallowed",-0.17479121692453
"WP",-0.210917511089818
"BK",-0.30810104884317
"SFA",-0.38551530466716
"DOUBLESAllowed",-0.404537403804366
"ER",-0.450806988636563
"TRIPLESAllowed",-0.474789008934068
"Rallowed",-0.48411594850839
"ERA",-0.732930232753773
"AVGagainst",-0.740245977377191
